date,day_of_week,is_weekend,is_exam_week,sleep_hours,social_media_hours,study_app_hours,class_hours,energy_self_log,focus_hours,prev_day_focus_hours,rolling_3day_focus_avg,high_productivity_day
2026-02-16,Monday,0,0,7.29,3.67,2.71,5.1,3.3,0.98,0.0,0.023333333333333112,0
2026-02-17,Tuesday,0,0,5.7,2.23,2.71,4.22,2.8,0.21,0.98,0.32666666666666644,0
2026-02-18,Wednesday,0,0,7.4,1.48,2.23,4.28,1.9,1.65,0.21,0.39666666666666645,1
2026-02-19,Thursday,0,0,6.85,3.8,3.18,3.44,2.5,0.47,1.65,0.9466666666666663,0
2026-02-20,Friday,0,1,4.57,1.4,5.15,2.2,3.2,4.04,0.47,0.7766666666666664,1
2026-02-21,Saturday,1,1,7.0,3.41,2.62,0.0,3.8,2.21,4.04,2.0533333333333332,1
2026-02-22,Sunday,1,1,6.46,1.1,4.41,0.0,3.1,3.77,2.21,2.2399999999999998,1
2026-02-23,Monday,0,1,5.76,1.63,4.67,3.22,2.3,3.64,3.77,3.34,1
2026-02-24,Tuesday,0,1,7.29,1.21,3.89,3.78,3.0,4.21,3.64,3.2066666666666666,1
2026-02-25,Wednesday,0,1,6.42,0.97,2.92,3.83,2.4,3.02,4.21,3.873333333333333,1
2026-02-26,Thursday,0,1,5.71,0.54,5.38,2.71,2.3,4.5,3.02,3.623333333333333,1
2026-02-27,Friday,0,0,8.52,1.29,2.11,5.74,3.4,2.2,4.5,3.9099999999999997,1
2026-02-28,Saturday,1,0,7.4,4.77,1.01,0.0,4.5,0.0,2.2,3.2399999999999998,0
2026-03-01,Sunday,1,0,7.6,3.94,3.03,0.0,3.5,0.88,0.0,2.233333333333333,0
2026-03-02,Monday,0,0,7.83,3.07,0.92,3.74,2.9,0.0,0.88,1.0266666666666664,0
2026-03-03,Tuesday,0,0,6.22,2.03,2.27,5.09,3.0,0.45,0.0,0.29333333333333306,0
2026-03-04,Wednesday,0,0,8.15,2.44,2.75,3.82,3.9,2.71,0.45,0.4433333333333331,1
2026-03-05,Thursday,0,0,4.65,2.04,2.47,5.96,2.7,0.88,2.71,1.053333333333333,0
2026-03-06,Friday,0,0,8.45,3.39,1.31,4.64,3.9,2.09,0.88,1.3466666666666665,1
2026-03-07,Saturday,1,1,7.28,2.83,3.68,0.0,1.8,2.36,2.09,1.8933333333333329,1
2026-03-08,Sunday,1,1,7.78,3.22,3.97,0.0,3.5,3.0,2.36,1.7766666666666662,1
2026-03-09,Monday,0,1,4.97,1.28,2.54,5.6,1.0,3.52,3.0,2.483333333333333,1
2026-03-10,Tuesday,0,1,4.41,2.75,3.27,5.17,1.8,3.45,3.52,2.9599999999999995,1
2026-03-11,Wednesday,0,1,6.04,2.45,4.06,4.92,3.4,3.68,3.45,3.323333333333333,1
2026-03-12,Thursday,0,1,4.85,0.79,4.04,3.91,1.0,3.71,3.68,3.5500000000000003,1
2026-03-13,Friday,0,1,4.9,0.89,3.97,3.42,2.7,5.04,3.71,3.6133333333333333,1
2026-03-14,Saturday,1,0,7.16,2.96,1.65,1.0,2.6,1.25,5.04,4.1433333333333335,1
2026-03-15,Sunday,1,0,7.56,4.24,0.88,0.0,3.2,0.0,1.25,3.3333333333333335,0
2026-03-16,Monday,0,0,7.78,2.83,1.71,5.58,2.7,0.5,0.0,2.0966666666666662,0
2026-03-17,Tuesday,0,0,6.31,2.9,2.95,4.77,3.1,0.48,0.5,0.583333333333333,0
2026-03-18,Wednesday,0,0,6.37,1.66,0.26,4.03,2.8,1.13,0.48,0.3266666666666664,0
2026-03-19,Thursday,0,0,8.41,2.89,3.67,6.17,2.0,2.62,1.13,0.703333333333333,1
2026-03-20,Friday,0,0,7.64,2.3,0.87,5.21,1.7,0.62,2.62,1.4099999999999995,0
2026-03-21,Saturday,1,0,6.94,2.82,2.45,0.0,3.2,0.71,0.62,1.4566666666666663,0
2026-03-22,Sunday,1,0,7.63,4.96,1.44,0.0,3.6,0.51,0.71,1.3166666666666664,0
2026-03-23,Monday,0,0,8.12,2.44,1.27,5.27,3.7,2.07,0.51,0.613333333333333,1
2026-03-24,Tuesday,0,0,7.89,3.03,2.01,3.45,3.3,1.75,2.07,1.0966666666666662,1
2026-03-25,Wednesday,0,0,5.44,3.37,3.65,2.17,1.6,0.96,1.75,1.4433333333333327,0
2026-03-26,Thursday,0,0,6.48,2.68,1.94,3.27,4.1,1.27,0.96,1.593333333333333,1
2026-03-27,Friday,0,0,6.5,3.55,1.59,3.01,3.2,0.57,1.27,1.3266666666666664,0
2026-03-28,Saturday,1,0,7.98,4.19,1.91,0.0,3.9,0.49,0.57,0.933333333333333,0
2026-03-29,Sunday,1,0,6.34,3.51,1.99,0.0,2.6,0.5,0.49,0.7766666666666664,0
2026-03-30,Monday,0,0,7.5,2.71,2.57,7.15,4.9,0.89,0.5,0.5199999999999997,0
2026-03-31,Tuesday,0,0,5.91,1.37,1.4,4.57,3.1,0.0,0.89,0.6266666666666664,0
2026-04-01,Wednesday,0,0,5.32,1.96,2.73,5.81,4.1,0.97,0.0,0.4633333333333331,0
2026-04-02,Thursday,0,0,7.75,3.21,1.6,4.97,4.0,0.51,0.97,0.6199999999999997,0
2026-04-03,Friday,0,0,8.48,2.47,2.07,3.36,3.0,0.08,0.51,0.493333333333333,0
2026-04-04,Saturday,1,0,7.55,5.45,0.69,0.0,5.0,0.0,0.08,0.5199999999999997,0
2026-04-05,Sunday,1,0,9.3,4.2,2.75,0.0,3.8,1.04,0.0,0.19666666666666635,0
2026-04-06,Monday,0,0,6.63,1.48,2.65,2.7,2.9,1.19,1.04,0.3733333333333331,1
2026-04-07,Tuesday,0,0,7.58,3.6,2.96,5.31,2.9,1.25,1.19,0.7433333333333331,1
2026-04-08,Wednesday,0,0,6.7,2.17,1.68,3.99,2.7,1.32,1.25,1.1599999999999997,1
2026-04-09,Thursday,0,0,6.05,1.99,0.73,6.2,2.3,0.33,1.32,1.253333333333333,0
2026-04-10,Friday,0,0,7.43,3.42,1.83,3.36,2.1,0.0,0.33,0.9666666666666663,0
2026-04-11,Saturday,1,0,7.65,4.24,1.88,0.0,2.2,0.0,0.0,0.5499999999999997,0
2026-04-12,Sunday,1,0,8.32,3.23,0.98,0.0,3.6,0.01,0.0,0.10999999999999971,0
2026-04-13,Monday,0,0,8.0,2.62,0.93,4.68,2.7,0.0,0.01,0.0033333333333330373,0
2026-04-14,Tuesday,0,0,5.77,1.16,1.55,5.85,4.6,0.57,0.0,0.0033333333333330373,0
2026-04-15,Wednesday,0,0,7.98,2.22,0.68,5.34,3.7,1.84,0.57,0.19333333333333302,1
2026-04-16,Thursday,0,0,5.62,4.46,3.27,4.48,2.5,0.22,1.84,0.8033333333333331,0
2026-04-17,Friday,0,0,7.1,2.37,2.41,4.15,4.4,1.54,0.22,0.8766666666666664,1
2026-04-18,Saturday,1,0,7.27,4.42,0.2,0.0,3.6,0.52,1.54,1.1999999999999997,0
2026-04-19,Sunday,1,0,7.63,4.27,0.0,0.0,4.8,0.0,0.52,0.7599999999999997,0
2026-04-20,Monday,0,0,8.12,2.79,1.78,3.23,3.1,0.75,0.0,0.6866666666666662,0
2026-04-21,Tuesday,0,0,8.23,3.04,2.26,5.54,4.0,1.75,0.75,0.42333333333333295,1
2026-04-22,Wednesday,0,0,5.65,3.3,1.63,5.81,3.7,0.05,1.75,0.833333333333333,0
2026-04-23,Thursday,0,0,7.85,2.25,1.72,4.81,3.7,1.16,0.05,0.8499999999999996,0
2026-04-24,Friday,0,0,5.8,2.41,3.82,1.16,3.5,2.39,1.16,0.9866666666666664,1
2026-04-25,Saturday,1,0,6.28,3.37,0.7,0.0,4.5,0.0,2.39,1.1999999999999995,0
2026-04-26,Sunday,1,0,8.06,4.37,1.93,0.0,3.5,0.64,0.0,1.183333333333333,0
2026-04-27,Monday,0,0,6.87,2.02,3.45,4.47,2.4,1.04,0.64,1.0099999999999996,0
2026-04-28,Tuesday,0,0,6.18,3.09,1.92,7.26,3.9,0.88,1.04,0.5599999999999996,0
2026-04-29,Wednesday,0,0,8.26,2.15,0.52,3.31,3.7,0.73,0.88,0.8533333333333329,0
2026-04-30,Thursday,0,0,7.74,2.41,2.6,6.3,3.3,1.93,0.73,0.8833333333333329,1
2026-05-01,Friday,0,0,5.42,2.41,1.01,4.67,2.9,0.23,1.93,1.1799999999999995,0
2026-05-02,Saturday,1,0,7.07,5.31,0.49,0.0,2.2,0.0,0.23,0.9633333333333329,0
2026-05-03,Sunday,1,0,8.94,3.14,1.44,0.0,4.6,0.19,0.0,0.7199999999999996,0
2026-05-04,Monday,0,0,7.2,3.86,2.55,6.04,3.9,1.54,0.19,0.13999999999999957,1
2026-05-05,Tuesday,0,0,7.04,2.51,2.21,5.38,3.0,1.28,1.54,0.5766666666666662,1
2026-05-06,Wednesday,0,0,6.72,2.58,1.0,7.63,2.5,0.0,1.28,1.003333333333333,0
2026-05-07,Thursday,0,0,6.26,2.93,1.84,3.34,3.5,0.85,0.0,0.9399999999999995,0
2026-05-08,Friday,0,0,6.94,2.04,3.75,4.91,2.2,2.59,0.85,0.7099999999999995,1
2026-05-09,Saturday,1,0,6.73,5.62,1.56,0.0,3.9,0.42,2.59,1.1466666666666663,0
2026-05-10,Sunday,1,0,5.79,3.82,2.61,0.0,3.0,0.53,0.42,1.2866666666666662,0
2026-05-11,Monday,0,0,7.91,2.36,1.12,1.65,3.1,0.04,0.53,1.1799999999999995,0
2026-05-12,Tuesday,0,0,9.34,2.04,1.46,2.67,3.7,1.17,0.04,0.32999999999999957,0
2026-05-13,Wednesday,0,0,8.56,2.62,1.99,4.34,4.3,1.62,1.17,0.5799999999999995,1
2026-05-14,Thursday,0,0,7.6,3.63,2.37,4.2,2.6,0.9,1.62,0.9433333333333329,0
2026-05-15,Friday,0,0,7.51,1.43,2.67,4.75,3.2,1.46,0.9,1.2299999999999995,1
2026-05-16,Saturday,1,0,7.07,4.12,1.4,0.0,2.8,0.0,1.46,1.3266666666666662,0
2026-05-17,Sunday,1,0,8.57,3.77,0.3,0.0,2.3,0.0,0.0,0.7866666666666662,0
2026-05-18,Monday,0,0,5.35,4.72,3.79,3.7,1.0,0.0,0.0,0.4866666666666662,0
2026-05-19,Tuesday,0,0,6.84,1.27,1.94,4.27,3.3,1.2,0.0,0.0,1
2026-05-20,Wednesday,0,0,6.13,1.9,2.04,3.74,3.7,1.12,1.2,0.3999999999999995,0
2026-05-21,Thursday,0,0,8.68,3.07,2.88,4.66,3.8,3.17,1.12,0.7733333333333329,1
2026-05-22,Friday,0,0,6.66,2.88,1.79,4.18,2.2,0.44,3.17,1.8299999999999994,0
2026-05-23,Saturday,1,0,6.66,4.12,2.33,0.0,3.0,0.0,0.44,1.5766666666666662,0
2026-05-24,Sunday,1,0,8.08,4.8,1.77,0.0,4.0,0.0,0.0,1.2033333333333327,0
2026-05-25,Monday,0,0,6.75,1.88,1.69,3.7,3.1,0.45,0.0,0.14666666666666608,0
2026-05-26,Tuesday,0,0,6.68,3.28,2.45,3.66,2.7,0.91,0.45,0.1499999999999994,0
2026-05-27,Wednesday,0,0,7.44,2.08,1.81,6.72,2.9,2.21,0.91,0.45333333333333276,1
2026-05-28,Thursday,0,0,7.99,3.71,1.5,4.3,3.1,1.68,2.21,1.1899999999999995,1
2026-05-29,Friday,0,0,6.49,3.01,2.54,4.44,4.1,1.48,1.68,1.5999999999999994,1
2026-05-30,Saturday,1,0,8.25,3.35,0.92,0.0,4.2,0.0,1.48,1.7899999999999994,0
